"""","路 線","市","観測地点 ","10月中の１日平均(台)","昼間午前 7時～ 午後 7時(台)","夜間午後 7時～ 午前 7時(台)"
"  平成24年(2012年)"," 国道24号","橋本市","野","15140.0","11691.0","3449.0"
"  平成25年(2013年)"," 国道24号","橋本市","野","14702.0","11347.0","3355.0"
"  平成26年(2014年)"," 国道24号","橋本市","野","14518.0","11301.0","3217.0"
"","","","","","",""
"  平成24年(2012年)"," 国道24号","岩出市","那賀高校北","34573.0","26187.0","8386.0"
"  平成25年(2013年)"," 国道24号","岩出市","那賀高校北","34242.0","25985.0","8257.0"
"  平成26年(2014年)"," 国道24号","岩出市","那賀高校北","34565.0","26588.0","7977.0"
"","","","","","",""
"  平成24年(2012年)"," 国道24号","和歌山市","花山～インタ－南口","41535.0","30341.0","11194.0"
"  平成25年(2013年)"," 国道24号","和歌山市","花山～インタ－南口","39648.0","29513.0","10127.0"
"  平成26年(2014年)"," 国道24号","和歌山市","花山～インタ－南口","38790.0","28956.0","9834.0"
"","","","","","",""
"  平成24年(2012年)"," 国道26号","和歌山市","和大入口～梅原","26147.0","19387.0","6760.0"
"  平成25年(2013年)"," 国道26号","和歌山市","和大入口～梅原","26737.0","19929.0","6808.0"
"  平成26年(2014年)"," 国道26号","和歌山市","和大入口～梅原","30551.0","22712.0","7839.0"
"","","","","","",""
"  平成24年(2012年)"," 国道26号","和歌山市","御膳松～紀ノ川大橋","46855.0","35984.0","10871.0"
"  平成25年(2013年)"," 国道26号","和歌山市","御膳松～紀ノ川大橋","45133.0","34698.0","10435.0"
"  平成26年(2014年)"," 国道26号","和歌山市","御膳松～紀ノ川大橋","45469.0","35110.0","10359.0"
"","","","","","",""
"  平成24年(2012年)"," 国道42号","和歌山市","県庁前～堀止","31284.0","24621.0","6663.0"
"  平成25年(2013年)"," 国道42号","和歌山市","県庁前～堀止","30644.0","23882.0","6762.0"
"  平成26年(2014年)"," 国道42号","和歌山市","県庁前～堀止","31227.0","24054.0","7173.0"
"","","","","","",""
"  平成24年(2012年)"," 国道42号","和歌山市","紀三井寺～布引","47624.0","36219.0","11405.0"
"  平成25年(2013年)"," 国道42号","和歌山市","紀三井寺～布引","46220.0","35203.0","11017.0"
"  平成26年(2014年)"," 国道42号","和歌山市","紀三井寺～布引","45834.0","34745.0","11095.0"
"","","","","","",""
"  平成24年(2012年)"," 国道42号","御坊市","北塩屋","15128.0","11978.0","3150.0"
"  平成25年(2013年)"," 国道42号","御坊市","北塩屋","10125.0","7888.0","2237.0"
"  平成26年(2014年)"," 国道42号","御坊市","北塩屋","14728.0","11745.0","2983.0"
"","","","","","",""
"  平成24年(2012年)"," 国道42号","田辺市","芳養","19529.0","15373.0","4156.0"
"  平成25年(2013年)"," 国道42号","田辺市","芳養","14663.0","11368.0","3295.0"
"  平成26年(2014年)"," 国道42号","田辺市","芳養","14379.0","11265.0","3114.0"
"","","","","","",""
"  平成24年(2012年)"," 国道42号","田辺市","新庄～田鶴","31248.0","25334.0","5845.0"
"  平成25年(2013年)"," 国道42号","田辺市","新庄～田鶴","29942.0","24349.0","5593.0"
"  平成26年(2014年)"," 国道42号","田辺市","新庄～田鶴","29779.0","24412.0","5367.0"
"","","","","","",""
"  平成24年(2012年)"," 国道42号","新宮市","橋本","19688.0","15705.0","3983.0"
"  平成25年(2013年)"," 国道42号","新宮市","橋本","19386.0","15520.0","3866.0"
"  平成26年(2014年)"," 国道42号","新宮市","橋本","18845.0","15023.0","3822.0"
